proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\Bootstrap5\Bootstrap5.vbproj,Bootstrap5\BootstrapRender.vb,15,0,5,10,1,0,0,1,0,477,477 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\Bootstrap5\Bootstrap5.vbproj,<project>,15,0,5,10,1,0,0,1,0,477,477 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\PieChart.vb,27,10,4,13,1,5,0,1,0,730,730 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\RadarChart.vb,23,0,5,18,2,5,0,2,0,632,632 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Scatter.vb,21,0,6,15,2,5,0,1,0,546,546 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2798,2.80 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Network\NetworkGenerator.vb,124,19,11,94,1,0,0,4,0,5367,5.37 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Network\htmlwidget\BuildData.vb,70,8,13,49,1,0,0,2,0,2400,2.40 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Network\htmlwidget\JSON.vb,46,0,5,41,5,29,0,0,0,1539,1.54 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Network\JSON\v3.vb,76,15,15,46,4,15,1,4,0,2563,2.56 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\Network\JSON\v4.vb,16,0,5,11,2,4,0,0,0,370,370 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\test\test\Module1.vb,81,8,15,58,1,0,1,1,0,3380,3.38 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\test\test\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\test\test\My Project\AssemblyInfo.vb,35,15,7,13,0,0,0,0,0,1169,1.17 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\test\test\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2774,2.77 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,d3.js\test\test\My Project\Settings.Designer.vb,73,9,13,51,2,2,1,0,0,2962,2.96 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\d3.js\d3.js.vbproj,<project>,744,148,119,477,23,69,3,15,0,28106,28.11 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\ECharts\ECharts.vbproj,ECharts\Graph\Graph.vb,77,5,15,57,4,11,0,1,0,2384,2.38 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\ECharts\ECharts.vbproj,<project>,77,5,15,57,4,11,0,1,0,2384,2.38 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\Content.vb,13,0,3,10,1,1,1,1,0,357,357 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\Icon.vb,65,9,10,46,1,4,2,3,0,2066,2.07 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\Icons.vb,2494,0,1,2493,1,0,0,0,0,58707,58.71 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\Script.vb,46,32,10,4,1,0,0,1,0,1832,1.83 KB
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\Styles.vb,16,9,1,6,1,0,0,0,0,316,316 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
G:\GCModeller\src\runtime\markdown2pdf\src\JavaScript\font-awesome\font-awesome.vbproj,font-awesome\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2805,2.81 KB
